"well_id","well_name","ndwr_site_id","well_role","latitude","longitude","mid_screen_depth","total_depth","basin_name"
124,"26-28",NA,"production",39.3935633173038,-119.749391865242,NA,1505,NA
125,"25-28-2",NA,"production",39.3950699415502,-119.749300108048,NA,1062,NA
126,"25-28-1",NA,"production",39.3959376415633,-119.748416937241,NA,590,NA
127,"36-28",NA,"injection",39.3935650193627,-119.746651870517,NA,1059,NA
128,"38-28-2",NA,"production",39.3910258999763,-119.745832420402,NA,847,NA
129,"37-28-1",NA,"production",39.3917927254045,-119.746930632474,NA,1301,NA
130,"47-28",NA,"production",39.3925482932419,-119.746217225942,NA,2000,NA
131,"87-29",NA,"monitor",39.3913379434885,-119.753588568461,NA,4028,NA
132,"85-29",NA,"production",39.3952982770948,-119.75259490894,NA,627,NA
133,"MTH 24-33",NA,"monitor",39.3827019270992,-119.750021736177,NA,NA,NA
135,"38B-28",NA,"production",39.3910258999763,-119.745832420402,NA,672,NA
136,"28A-32",NA,"production",39.3765195216518,-119.767968045046,NA,2602,NA
